"id";"1_Total";"1_Partner";"1_Children";"1_All";"2_Total";"2_Partner";"2_Children";"2_All";"3_Total";"3_Partner";"3_Children";"3_All";"10_Total";"10_Partner";"10_Children";"10_All";"20_Total";"20_Partner";"20_Children";"20_All";"30_Total";"30_Partner";"30_Children";"30_All";"35_Total";"35_Partner";"35_Children";"35_All";"40_Total";"40_Partner";"40_Children";"40_All";"50_Total";"50_Partner";"50_Children";"50_All";"60_Total";"60_Partner";"60_Children";"60_All";"70_Total";"70_Partner";"70_Children";"70_All";"80_Total";"80_Partner";"80_Children";"80_All";"90_Total";"90_Partner";"90_Children";"90_All";"95_Total";"95_Partner";"95_Children";"95_All";"3800_total";"3800_Partner";"3800_Children";"3800_All"
806158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
806204;580;0;0;0;90;20;0;70;10;0;0;0;650;0;0;0;0;0;0;0;80;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;10;0;0;0;80;0;0;50
806237;180;180;0;0;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
806240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
806250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
806283;570;0;0;0;100;90;0;0;100;0;0;0;300;0;0;0;0;0;0;0;80;40;0;0;0;0;0;0;0;0;0;0;30;30;0;0;0;0;0;0;0;0;0;0;70;70;0;0;180;100;0;0;10;0;0;0;0;0;0;0
806307;470;0;0;0;100;100;0;0;25;0;0;0;400;0;0;0;0;0;0;0;95;10;0;0;0;0;0;0;0;0;0;0;30;0;0;0;70;0;0;0;10;0;0;0;240;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0
806414;190;190;0;0;85;20;0;0;40;0;0;0;510;510;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;50;50;0;0;30;0;0;0;100;0;0;0;15;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0
806460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
806542;300;300;0;0;50;20;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;240;0;0;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
806552;410;410;0;0;120;100;0;0;80;20;0;0;0;0;0;0;0;0;0;0;40;20;0;0;0;0;0;0;0;0;0;0;55;10;0;0;95;75;0;0;200;20;0;0;340;165;0;0;0;0;0;0;100;0;0;0;0;0;0;0
806658;430;0;0;0;420;420;0;0;80;10;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;240;240;0;0;0;0;0;0;10;0;0;0;10;0;0;0;220;220;0;0;0;0;0;0;0;0;0;0
806689;420;420;0;0;105;90;0;0;65;20;0;0;290;290;0;0;0;0;0;0;330;90;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;10;0;0;0;85;80;0;0;40;0;0;0;0;0;0;0;110;60;0;0
806707;390;390;0;0;50;20;0;0;40;0;0;0;550;540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;85;0;0;0;0;0;0;0;0;0;0;110;75;0;0;155;0;0;0;10;0;0;0;0;0;0;0
806719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
806774;420;420;0;0;110;110;0;0;40;40;0;0;0;0;0;0;0;0;0;0;60;50;0;0;0;0;0;0;380;380;0;0;0;0;0;0;130;40;0;0;20;20;0;0;260;260;0;0;0;0;0;0;20;10;0;0;0;0;0;0
