"id";"1_Total";"1_Partner";"1_Children";"1_All";"2_Total";"2_Partner";"2_Children";"2_All";"3_Total";"3_Partner";"3_Children";"3_All";"10_Total";"10_Partner";"10_Children";"10_All";"20_Total";"20_Partner";"20_Children";"20_All";"30_Total";"30_Partner";"30_Children";"30_All";"35_Total";"35_Partner";"35_Children";"35_All";"40_Total";"40_Partner";"40_Children";"40_All";"50_Total";"50_Partner";"50_Children";"50_All";"60_Total";"60_Partner";"60_Children";"60_All";"70_Total";"70_Partner";"70_Children";"70_All";"80_Total";"80_Partner";"80_Children";"80_All";"90_Total";"90_Partner";"90_Children";"90_All";"95_Total";"95_Partner";"95_Children";"95_All";"3800_total";"3800_Partner";"3800_Children";"3800_All"
800161;630;630;0;0;60;60;0;0;30;30;0;0;0;0;0;0;0;0;0;0;80;60;0;0;0;0;0;0;0;0;0;0;90;90;0;0;70;0;0;0;80;80;0;0;320;320;0;0;80;30;0;0;0;0;0;0;0;0;0;0
800170;500;500;0;0;40;40;0;0;20;10;0;0;490;490;0;0;0;0;0;0;110;80;0;0;0;0;0;0;0;0;0;0;105;70;0;0;0;0;0;0;80;50;0;0;50;50;0;0;45;0;0;0;0;0;0;0;0;0;0;0
800198;460;460;0;0;140;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;60;60;0;0;0;0;0;0;50;0;0;0;500;180;0;0;210;110;0;0;10;0;0;0;0;0;0;0
800201;590;590;0;0;75;60;0;0;40;0;0;0;0;0;0;0;50;10;0;0;55;20;0;0;0;0;0;0;0;0;0;0;210;210;0;0;80;80;0;0;55;10;0;0;165;80;0;0;100;100;0;0;0;0;0;0;0;0;0;0
800204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800274;500;500;0;0;120;100;0;0;50;0;0;0;0;0;0;0;0;0;0;0;110;80;0;0;0;0;0;0;0;0;0;0;300;300;0;0;0;0;0;0;70;50;0;0;180;180;0;0;110;110;0;0;0;0;0;0;10;10;0;0
800289;665;665;0;0;195;195;0;0;75;65;0;0;0;0;0;0;0;0;0;0;275;275;0;0;0;0;0;0;0;0;0;0;20;20;0;0;0;0;0;0;0;0;0;0;210;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800372;620;620;0;0;90;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450;70;0;0;260;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0
800384;600;600;0;0;105;95;0;0;40;0;0;0;0;0;0;0;180;0;0;0;115;100;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;70;0;0;0;290;135;0;0;20;0;0;0;10;0;0;0;0;0;0;0
800402;580;580;0;0;90;80;0;0;70;0;0;0;0;0;0;0;0;0;0;0;210;70;0;0;0;0;0;0;0;0;0;0;110;100;0;0;0;0;0;0;110;90;0;0;120;60;0;0;50;50;0;0;100;0;0;0;0;0;0;0
800445;530;530;0;0;190;170;0;0;30;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;230;0;0;0;290;80;0;0;0;0;0;0;10;0;0;0;0;0;0;0
800497;510;510;0;0;205;140;0;0;40;0;0;0;0;0;0;0;0;0;0;0;210;0;0;0;0;0;0;0;0;0;0;0;140;70;0;0;0;0;0;0;165;0;0;0;150;90;0;0;0;0;0;0;10;10;0;0;0;0;0;0
800500;480;480;0;0;90;90;0;0;100;0;0;0;0;0;0;0;0;0;0;0;60;60;0;0;0;0;0;0;0;0;0;0;20;0;0;0;150;120;0;0;360;0;0;0;180;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800637;510;510;0;0;120;85;0;0;85;20;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;20;20;0;0;125;90;0;0;410;0;0;0;0;0;0;0;30;30;0;0;40;5;0;0;0;0;0;0
800659;550;550;0;0;120;120;0;0;60;60;0;0;0;0;0;0;0;0;0;0;180;130;0;0;0;0;0;0;0;0;0;0;85;85;0;0;0;0;0;0;185;185;0;0;240;240;0;0;0;0;0;0;20;20;0;0;0;0;0;0
800674;580;580;0;0;75;40;0;0;80;0;0;0;0;0;0;0;0;0;0;0;130;25;0;0;0;0;0;0;0;0;0;0;135;70;0;0;0;0;0;0;110;0;0;0;210;55;0;0;70;0;0;0;50;10;0;0;0;0;0;0
800744;230;230;0;0;40;40;0;0;40;40;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;170;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800750;570;570;0;0;105;75;0;0;60;0;0;0;0;0;0;0;0;0;0;0;145;140;0;0;0;0;0;0;0;0;0;0;185;165;0;0;0;0;0;0;40;20;0;0;175;135;0;0;125;30;0;0;35;15;0;0;0;0;0;0
800762;750;750;0;0;70;0;0;70;30;0;0;0;0;0;0;0;0;0;0;0;395;120;0;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;145;110;0;35;0;0;0;0;10;0;0;0;135;60;0;75
800775;600;600;0;0;115;0;0;110;55;5;0;0;0;0;0;0;0;0;0;0;120;5;0;75;0;0;0;0;10;0;0;10;365;200;0;165;0;0;0;0;30;30;0;0;55;0;0;15;50;0;0;50;40;0;0;5;20;0;0;20
800848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800851;690;690;0;0;90;40;0;0;30;0;0;0;0;0;0;0;0;0;0;0;275;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;355;240;0;0;0;0;0;0;0;0;0;0;245;90;0;0
800894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800903;500;0;0;0;220;170;0;50;0;0;0;0;0;0;0;0;260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;140;260;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800909;460;460;0;0;130;0;0;90;40;0;0;0;0;0;0;0;0;0;0;0;270;0;0;20;0;0;0;0;0;0;0;0;360;120;0;240;0;0;0;0;110;0;0;40;60;60;0;0;0;0;0;0;10;0;0;0;20;0;0;20
800918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800997;750;750;0;0;80;60;0;0;50;0;0;0;0;0;0;0;0;0;0;0;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;40;0;0;0;0;0;0;490;260;0;0;0;0;0;0;0;0;0;0;0;0;0;0
